MAE,RMSE,R2,MedAE,Inf_Time,Train_Time
2.3629133701324463,3.9917964258519416,-0.06842279434204102,1.4097667,0.0004139457430158343,0.8076989650726318
2.299022674560547,3.5471446737204997,-0.19892549514770508,1.3382179,0.00010735648018973214,0.5135252475738525
1.3277138471603394,1.5759303629976624,-0.5846452713012695,1.0867913,0.00010888917105538505,0.5124621391296387
2.280703067779541,4.036547115539071,-0.06815516948699951,1.2525326,0.00011037077222551619,0.5027072429656982
2.9749653339385986,4.243214295049325,-0.33511900901794434,1.6138608,0.00010630062648228236,0.5047526359558105
3.074167013168335,4.920770624177336,-0.1625347137451172,1.3619734,0.00010742459978376116,0.5054798126220703
2.7520158290863037,4.452582289434913,-0.16369247436523438,1.272516,0.00010672637394496373,0.5102617740631104
3.596532106399536,6.292916314861466,-0.19514834880828857,1.8209281,0.00010515962328229631,0.509843111038208
3.1856327056884766,4.377569915195731,-0.5566716194152832,2.0120533,0.00010636874607631139,0.5055546760559082
1.6832056045532227,2.127833776951674,-0.054295897483825684,1.2806346,0.00010594299861363002,0.501234769821167
