MAE,RMSE,R2,MedAE,Inf_Time,Train_Time
2.1746773719787598,4.00185780297653,-0.07381558418273926,1.1638961,0.00010907649993896484,0.5204634666442871
2.0849101543426514,3.019402386480539,0.1312868595123291,1.4242289,0.00011120523725237166,0.5338850021362305
1.1047667264938354,1.5003973116796456,-0.43638408184051514,0.64768845,0.00010645389556884766,0.5149996280670166
2.1943275928497314,4.080001457812479,-0.09127676486968994,1.1517569,0.00010561943054199219,0.5112383365631104
2.3691563606262207,3.4973420541150166,0.09300214052200317,1.0735537,0.00010786737714494978,0.5213630199432373
2.967257261276245,4.968587620798957,-0.18523812294006348,1.0771539,0.00010745865958077567,0.5282800197601318
2.7689952850341797,4.476889713172109,-0.17643272876739502,1.1722211,0.00010420594896589006,0.5192008018493652
2.8794703483581543,5.246425138162812,0.1692987084388733,0.8849342,0.00010422297886439733,0.5014817714691162
1.9206178188323975,2.8089617195006187,0.35905253887176514,1.1183908,0.00010701588221958705,0.5143427848815918
1.3717373609542847,1.8354897460360122,0.21550339460372925,1.0255629,0.00010526180267333984,0.5114614963531494
