Model,MAE,RMSE,R2,MedAE,Train_Time,Inf_Time
Ridge Regression,2.883042518515306,3.8543058627551154,-1.2070622737507386,1.9153582932610402,0.0034443140029907227,2.10813113621303e-05
XGBoost,2.5392943362010216,3.677351313262606,-0.5876686843822811,1.619807878715021,0.5908891201019287,0.00019039767129080636
Simple MLP,2.8212735239806213,3.9515918698372987,-0.8523913494961916,1.7371246623801162,2.463519287109375,4.0125846862792965e-05
