Model,MAE,RMSE,R2,MedAE,Avg_Train_Time_Sec,Avg_Inf_Time_Per_Sample
Ridge Regression,2.5085870926459815,3.691806918901663,0.058055859850262626,1.7566842028742644,0.033150243759155276,3.7862573351178855e-05
XGBoost,2.5993563422343087,3.9293261512837327,-0.04226408693904913,1.4470654474364386,4.227407741546631,0.00012836456298828124
Simple MLP,2.471280119475824,3.7801673829294034,0.015439812616742233,1.484298449531094,33.97610139846802,0.0005793486322675432
